id,time_of_event,time_of_alert,target
01924,,,0
00822,19.500,18.633,1
01429,,,0
00208,19.800,19.233,1
01904,,,0
00072,20.101,20.068,1
01486,,,0
01171,,,0
00128,19.267,18.333,1
01518,,,0
00205,21.146,18.196,1
01889,,,0
01286,,,0
00408,19.953,17.551,1
00948,20.287,19.219,1
00457,19.600,19.367,1
01267,,,0
01802,,,0
01755,,,0
00471,19.833,18.267,1
02134,,,0
00900,21.177,17.942,1
00841,19.000,16.167,1
00333,19.667,17.000,1
00564,20.240,17.417,1
00245,20.133,19.067,1
00171,10.067,6.833,1
01076,,,0
00795,20.706,16.493,1
00372,19.967,17.867,1
00938,10.426,10.226,1
01749,,,0
00884,21.864,20.197,1
00641,9.832,6.733,1
00010,20.900,18.533,1
01816,,,0
01052,,,0
01205,,,0
00927,20.033,16.400,1
00378,18.300,15.733,1
01579,,,0
01973,,,0
00238,20.350,17.500,1
01050,,,0
01204,,,0
00313,19.709,18.794,1
00876,20.192,18.722,1
00098,19.110,16.823,1
01505,,,0
01699,,,0
01972,,,0
00516,20.600,19.633,1
00357,19.493,17.730,1
00903,20.087,17.184,1
00880,19.400,18.500,1
02083,,,0
00558,20.266,17.945,1
01162,,,0
01438,,,0
01457,,,0
00291,17.647,15.229,1
01342,,,0
01236,,,0
00977,19.667,18.833,1
00100,18.467,17.233,1
01303,,,0
01250,,,0
01291,,,0
00765,19.314,18.301,1
02013,,,0
01022,18.000,16.500,1
00042,19.465,17.766,1
01906,,,0
00286,19.601,17.347,1
01653,,,0
00858,20.033,16.633,1
01405,,,0
00629,10.431,8.398,1
00145,17.400,15.233,1
01033,20.181,18.451,1
00292,20.800,19.533,1
01783,,,0
00611,19.633,16.833,1
01419,,,0
01016,19.794,18.781,1
01276,,,0
01352,,,0
00336,3.921,3.072,1
00168,19.133,17.833,1
00600,19.400,15.933,1
01425,,,0
01797,,,0
01829,,,0
01075,,,0
00473,21.067,18.600,1
01869,,,0
01551,,,0
00515,19.900,17.867,1
00058,19.149,18.071,1
00348,19.570,17.933,1
00487,20.967,20.067,1
01197,,,0
00335,20.150,18.515,1
00029,19.933,19.100,1
00960,19.237,17.898,1
01468,,,0
00980,19.667,18.667,1
00148,19.233,17.300,1
00301,20.020,19.119,1
00702,20.745,17.641,1
02067,,,0
01305,,,0
02026,,,0
00819,19.520,15.449,1
00459,10.524,9.991,1
00529,19.805,18.629,1
02001,,,0
01416,,,0
00425,19.231,17.811,1
01719,,,0
01103,,,0
00006,19.233,17.133,1
01717,,,0
01943,,,0
01624,,,0
01523,,,0
01322,,,0
00617,19.661,18.453,1
01714,,,0
02063,,,0
01728,,,0
02014,,,0
00705,21.860,19.867,1
00083,10.697,8.398,1
01261,,,0
01932,,,0
00032,19.533,19.233,1
02084,,,0
01041,,,0
02011,,,0
00861,20.900,19.367,1
00723,20.267,18.733,1
01791,,,0
00851,19.920,19.019,1
01193,,,0
01609,,,0
02049,,,0
01190,,,0
01698,,,0
02000,,,0
00370,22.267,21.500,1
01607,,,0
00355,18.600,17.800,1
00375,17.671,16.364,1
01801,,,0
01800,,,0
01341,,,0
01268,,,0
00437,20.167,19.000,1
01496,,,0
01394,,,0
00477,20.000,18.833,1
00077,19.964,17.645,1
00068,19.900,16.733,1
00986,20.533,20.133,1
00587,20.733,19.533,1
01138,,,0
01037,20.550,18.048,1
00109,20.133,16.167,1
01942,,,0
00498,19.448,17.900,1
00312,21.800,19.774,1
01292,,,0
02139,,,0
01600,,,0
01313,,,0
00673,19.167,17.333,1
01988,,,0
01679,,,0
01135,,,0
00440,18.933,17.567,1
01321,,,0
02052,,,0
00614,21.733,19.300,1
01817,,,0
01219,,,0
00963,20.487,18.852,1
02121,,,0
00450,20.285,18.946,1
00435,20.700,19.500,1
00201,18.386,18.021,1
01798,,,0
00441,9.096,6.131,1
00300,10.064,8.464,1
00847,19.667,15.812,1
00901,18.933,17.667,1
01601,,,0
00651,19.666,18.297,1
01657,,,0
01289,,,0
00056,19.400,18.900,1
01953,,,0
00604,19.806,18.611,1
01647,,,0
01084,,,0
00164,10.226,9.093,1
00423,19.100,19.067,1
00410,20.900,20.067,1
00998,20.078,19.190,1
01928,,,0
00190,18.867,15.867,1
00223,20.300,19.333,1
01444,,,0
00284,19.802,18.658,1
00373,20.710,19.290,1
01570,,,0
01578,,,0
01631,,,0
00260,20.567,18.533,1
00037,20.533,19.633,1
00340,18.032,15.871,1
01765,,,0
01812,,,0
01893,,,0
00890,19.150,16.414,1
00371,20.095,19.341,1
01726,,,0
00434,9.532,8.099,1
01526,,,0
00206,20.733,17.467,1
00665,19.860,18.125,1
01187,,,0
00401,21.850,21.167,1
00885,20.449,18.260,1
01596,,,0
01278,,,0
02089,,,0
01708,,,0
01465,,,0
00985,25.667,23.767,1
01544,,,0
00635,20.167,19.833,1
00099,17.006,15.959,1
01761,,,0
00123,19.467,18.133,1
01070,,,0
