id,time_of_event,time_of_alert,label,vid_path,event_frame,tensor_path
00000,20.76,19.136,1,data/00000.mp4,7,train_tensor/00000.pt
00004,19.367,19.167,1,data/00004.mp4,7,train_tensor/00004.pt
00005,20.874,20.809,1,data/00005.mp4,7,train_tensor/00005.pt
00006,19.233,17.133,1,data/00006.mp4,7,train_tensor/00006.pt
00007,21.2,19.5,1,data/00007.mp4,7,train_tensor/00007.pt
00008,19.267,19.233,1,data/00008.mp4,7,train_tensor/00008.pt
00010,20.9,18.533,1,data/00010.mp4,7,train_tensor/00010.pt
00013,20.567,18.6,1,data/00013.mp4,7,train_tensor/00013.pt
00015,19.7,17.667,1,data/00015.mp4,7,train_tensor/00015.pt
00016,19.771,17.861,1,data/00016.mp4,7,train_tensor/00016.pt
00017,19.2,17.2,1,data/00017.mp4,7,train_tensor/00017.pt
00018,20.683,20.367,1,data/00018.mp4,7,train_tensor/00018.pt
00019,19.896,19.341,1,data/00019.mp4,7,train_tensor/00019.pt
00021,20.033,18.767,1,data/00021.mp4,7,train_tensor/00021.pt
00022,19.433,18.267,1,data/00022.mp4,7,train_tensor/00022.pt
00023,19.9,18.967,1,data/00023.mp4,7,train_tensor/00023.pt
00024,20.533,19.567,1,data/00024.mp4,7,train_tensor/00024.pt
00026,9.796,6.997,1,data/00026.mp4,8,train_tensor/00026.pt
00027,19.567,17.8,1,data/00027.mp4,7,train_tensor/00027.pt
00028,19.929,17.74,1,data/00028.mp4,7,train_tensor/00028.pt
00032,19.533,19.233,1,data/00032.mp4,7,train_tensor/00032.pt
00036,22.174,21.412,1,data/00036.mp4,8,train_tensor/00036.pt
00037,20.533,19.633,1,data/00037.mp4,7,train_tensor/00037.pt
00039,19.067,17.6,1,data/00039.mp4,7,train_tensor/00039.pt
00040,18.433,17.4,1,data/00040.mp4,7,train_tensor/00040.pt
00042,19.465,17.766,1,data/00042.mp4,7,train_tensor/00042.pt
00043,9.263,8.863,1,data/00043.mp4,7,train_tensor/00043.pt
00047,19.567,18.4,1,data/00047.mp4,7,train_tensor/00047.pt
00048,9.863,9.496,1,data/00048.mp4,7,train_tensor/00048.pt
00049,19.399,18.264,1,data/00049.mp4,7,train_tensor/00049.pt
00054,19.3,17.767,1,data/00054.mp4,7,train_tensor/00054.pt
00056,19.4,18.9,1,data/00056.mp4,7,train_tensor/00056.pt
00057,20.317,19.133,1,data/00057.mp4,7,train_tensor/00057.pt
00058,19.149,18.071,1,data/00058.mp4,7,train_tensor/00058.pt
00059,18.933,18.6,1,data/00059.mp4,7,train_tensor/00059.pt
00061,18.833,16.733,1,data/00061.mp4,7,train_tensor/00061.pt
00062,18.867,17.8,1,data/00062.mp4,7,train_tensor/00062.pt
00063,19.55,17.8,1,data/00063.mp4,7,train_tensor/00063.pt
00064,8.167,7.567,1,data/00064.mp4,6,train_tensor/00064.pt
00065,19.0,17.567,1,data/00065.mp4,7,train_tensor/00065.pt
00068,19.9,16.733,1,data/00068.mp4,7,train_tensor/00068.pt
00074,20.233,18.967,1,data/00074.mp4,7,train_tensor/00074.pt
00077,19.964,17.645,1,data/00077.mp4,7,train_tensor/00077.pt
